year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2008,3,5,  ,  ,     ,34.629,136.97501,21.0,5.9,237.0,39.0,108.0,51,37,0.01,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,3,23,  ,  ,     ,34.627,136.524,20.0,5.6,208.0,25.0,84.0,28,44,0.008,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,11,4,  ,  ,     ,34.78,136.989,26.0,5.9,221.0,3.0,65.0,78,33,0.009,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,1,13,  ,  ,     ,35.079,137.12199,22.0,5.6,211.0,25.0,87.0,71,37,0.003,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,5,29,  ,  ,     ,34.551,136.761,25.0,5.8,226.0,17.0,108.0,21,45,0.014,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,1,10,  ,  ,     ,34.626,136.828,27.0,5.9,215.0,22.0,98.0,51,49,0.009,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,1,7,  ,  ,     ,34.333,136.314,11.0,5.4,205.0,12.0,80.0,48,23,0.003,172800.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,6,8,  ,  ,     ,34.543,136.644,11.0,5.7,217.0,10.0,92.0,64,39,0.004,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,1,9,  ,  ,     ,34.527,136.785,29.0,6.0,242.0,17.0,116.0,37,54,0.018,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2005,7,9,  ,  ,     ,34.582,136.69299,25.0,5.9,228.0,13.0,103.0,45,38,0.012,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2004,11,29,  ,  ,     ,34.588,136.74699,24.0,5.8,224.0,12.0,99.0,37,45,0.011,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008,2,13,  ,  ,     ,33.844,134.28999,35.0,6.0,258.0,29.0,129.0,47,25,0.029,432000.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2002,10,13,  ,  ,     ,34.654,136.94701,21.0,6.0,237.0,16.0,112.0,53,54,0.011,518400.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2006,11,7,  ,  ,     ,34.002,134.29401,36.0,5.9,231.0,10.0,105.0,78,41,0.008,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2008,3,14,  ,  ,     ,33.467,132.91,28.0,5.9,248.0,14.0,123.0,62,25,0.013,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
2007,9,9,  ,  ,     ,33.495,132.862,26.0,5.7,226.0,27.0,100.0,78,26,0.006,259200.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
