,index,year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate,depth,time,ID,date,start,end,mid_time_deciyear,type,Named_SSEs,Start,End,Average date of GPS maximum speed,Date of maximum moment rate,Maximum moment rate,Total moment released,start_yr,start_doy,start_dec_year,end_yr,end_doy,end_dec_year,Mw_Est,cent_long,cent_lat,Event,Start_year,Start_month,Start_day,End_year,End_month,End_day,Duration,Lon_geom,Lat_geom,Z_geom,Lon_pot,Lat_pot,Z_pot,Lon_mom,Lat_mom,Z_mom,Mw,Area,Potency,Moment,Max_slip,Mean_slip,Max_slip_rate,Mean_slip_rate,Start_time,End_time,year_time,SSE_number_michel2019,min_start,max_start,min_end,max_end,len,wid,str,M0,dur,Mw_error,Duration_error,Longitude,Latitude,Depth,Time,Aseismic_percent
72,12.0,1998.0,7.0,7.0,,,,34.955,142.123,7.6,6.59,183.0,14.0,92.0,40.0,41.0,0.149,6912000.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,7.6,1998-07-07 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,138.0,1998.0,7.0,11.0,,,,33.825,134.084,24.269,5.73,268.3,12.3,135.3,28.0,38.0,0.011,604800.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05,24.269,1998-07-11 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,810.0,1998.0,7.0,25.0,,,,33.477,135.582,19.0,5.6,270.0,14.0,164.0,41.0,35.0,0.005,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,19.0,1998-07-25 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,809.0,1998.0,8.0,13.0,,,,34.992,137.42101,25.1,6.11,235.0,8.0,99.0,91.0,36.0,0.014,,Nishimura2013-SSE,Nishimura (2013),2018-06-25,25.1,1998-08-13 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,207.0,1998.0,8.0,13.0,,,,27.973,130.321,9.1,6.06,212.0,13.0,75.0,40.0,40.0,0.024,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,9.1,1998-08-13 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,136.0,1998.0,9.0,22.0,,,,32.74,132.067,29.119,6.1,202.4,24.3,96.8,43.0,29.0,0.035,518400.0,Okada2022b-SSE,Okada et al. (2022),2022-04-05,29.119,1998-09-22 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,205.0,1998.0,10.0,1.0,,,,26.474,128.11,26.3,5.99,251.0,26.0,79.0,52.0,39.0,0.015,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,26.3,1998-10-01 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,8.0,1998.0,10.0,11.0,,,,34.764,141.74001,12.5,6.69,266.0,5.0,128.0,40.0,40.0,0.212,3974400.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,12.5,1998-10-11 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,204.0,1998.0,10.0,12.0,,,,33.795,133.836,29.3,6.16,251.0,7.0,113.0,136.0,52.0,0.008,,Nishimura2014-SSE,Nishimura (2014),2017-11-29,29.3,1998-10-12 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,13.0,1998.0,10.0,30.0,,,,35.389,142.03101,11.0,6.54,185.0,14.0,93.0,41.0,41.0,0.12,2937600.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,11.0,1998-10-30 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
